,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
1324,1324,2720149727.0,669,87,54.0,613,43.5,93.5,90,SecondHalf,Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'Length', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,35.6,87.0,,,,,,,,,,
1338,1338,2720150587.0,679,88,57.0,613,69.1,90.6,91,SecondHalf,Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,232278.0,68.3,84.5,,,,,,,,,,
1368,1368,2720152541.0,699,91,15.0,613,72.8,88.7,94,SecondHalf,Pass,Successful,"['Length', 'Angle', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,232278.0,75.2,91.0,,,,,,,,,,
1382,1382,2720153747.0,708,92,41.0,613,55.8,95.0,95,SecondHalf,Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,44.3,85.8,,,,,,,,,,
1393,1393,2720154563.0,715,93,38.0,613,29.8,100.0,96,SecondHalf,Pass,Successful,"['ThrowIn', 'PassEndY', 'Length', 'Longball', 'Zone', 'Angle', 'PassEndX']","[91, 212, 35, 38, 215]",True,232278.0,24.4,63.2,,,,,,,,,,
1404,1404,2720154981.0,724,94,23.0,613,26.7,91.0,97,SecondHalf,Pass,Unsuccessful,"['Offensive', 'PassEndY', 'OppositeRelatedEvent', 'Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[91, 118, 120, 29, 35, 38, 215, 218]",True,232278.0,24.0,89.2,,,,,,,,,,
1406,1406,2720155031.0,725,94,26.0,613,21.0,93.8,97,SecondHalf,Challenge,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']",[55],False,232278.0,,,,,,,,,,,,
1422,1422,2720155429.0,731,95,3.0,613,68.0,91.2,98,SecondHalf,Tackle,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent', 'StandingSave']","[91, 143]",True,232278.0,,,,,,,,,,,,
37,37,2727074955.0,24,2,6.0,613,7.1,72.7,2,FirstHalf,Clearance,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Head', 'Zone', 'Length']","[91, 94, 95, 57, 215]",True,232278.0,20.8,80.2,,,,,,,,,,
39,39,2727075005.0,25,2,9.0,613,21.4,80.4,2,FirstHalf,Aerial,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[198, 200]",False,232278.0,,,,,,,,,,,,
